isin,country,name,full_name,currency,symbol
BRLCAMACNOR3,brazil,LOCAMERICA ON NM,Cia de Locacao das Americas,BRL,LCAM3
BRRADLACNOR0,brazil,RAIADROGASIL ON,Raia Drogasil SA,BRL,RADL3
BRUCASACNOR1,brazil,UNICASA ON,UNICASA Industria de Moveis SA,BRL,UCAS3
BRALUPCDAM15,brazil,Alupar Invest Unit,Alupar Investimento SA Unit,BRL,ALUP11
BRANIMACNOR6,brazil,Anima ON,Anima ON,BRL,ANIM3
BRBBSEACNOR5,brazil,BBSEGURIDADE ON NM,BB Seguridade Participacoes SA,BRL,BBSE3
BRBSEVACNOR3,brazil,Biosev ON,Biosev ON,BRL,BSEV3
BRCPREACNOR5,brazil,CPFL RENOVAVON NM,Cpfl Renovav ON,BRL,CPRE3
BRCVCBACNOR1,brazil,CVC BRASIL ON NM,Cvc Brasil ON,BRL,CVCB3
BRLINXACNOR0,brazil,LINX ON NM,Linx ON,BRL,LINX3
BRSEERACNOR5,brazil,Ser Educa ON,Ser Educa ON,BRL,SEER3
BRSMLSACNOR1,brazil,Smiles Fidelidade,Smiles Fidelidade SA,BRL,SMLS3
BRTUPYACNOR1,brazil,Tupy ON,Tupy ON,BRL,TUPY3
BRSQIAACNOR6,brazil,Senior Solution,Senior Solution SA,BRL,SQIA3
BRBIOMACNOR2,brazil,Biomm On,Biomm On,BRL,BIOM3
BRKLBNCDAM18,brazil,KLABIN S/A UNT N2,Klabin Unt,BRL,KLBN11
BRNUTRACNOR0,brazil,Nutriplant,Nutriplant,BRL,NUTR3
BRBAZAACNOR0,brazil,Banco da Amazonia SA ON,Banco da Amazonia SA ON,BRL,BAZA3
BRTCNOACNOR5,brazil,Tecnosolo Engenharia SA ON,Tecnosolo Engenharia SA ON,BRL,TCNO3
BRSANBACNOR8,brazil,SANTANDER BRON,Banco Santander SA B3,BRL,SANB3
BRSEDUACNOR1,brazil,SOMOS EDU S/A ON,Somos Educacao SA,BRL,SEDU3
BRFRASACNOR0,brazil,Fras Le SA,Fras Le SA,BRL,FRAS3
BRGEPAACNPR9,brazil,Duke Energy Intl Geracao Para,Duke Energy Intl Geracao Para,BRL,GEPA4
BROFSAACNOR7,brazil,Ouro Fino Saude Animal Particip,Ouro Fino Saude Animal Particip,BRL,OFSA3
BRRLOGACNOR4,brazil,Cosan Logistica SA,Cosan Logistica SA,BRL,RLOG3
BRTOYBACNOR4,brazil,Tec Toy SA,Tec Toy SA,BRL,TOYB3
BRWIZSACNOR1,brazil,FPC Par Corretora De Seguros,FPC Par Corretora De Seguros S/A,BRL,WIZS3
BRGUARACNOR4,brazil,Guararapes Confeccoes ON,Guararapes Confeccoes SA,BRL,GUAR3
BRIGBRACNOR7,brazil,Gradiente Electronica SA,Gradiente Electronica SA,BRL,IGBR3
BRTELBACNPR9,brazil,Telecomunicacoes Brasileira SA Pref,Telecomunicacoes Brasileiras SA Telebras Pref,BRL,TELB4
BRWHRLACNOR5,brazil,Whirlpool SA,Whirlpool SA,BRL,WHRL3
BRSHULACNPR4,brazil,Schulz SA,Schulz SA,BRL,SHUL4
BRATOMACNOR1,brazil,Atom Participacoes,Atom Participacoes SA em Recuperacao Judicial,BRL,ATOM3
BRTIETCDAM15,brazil,AES TIETE E UNT N2,AES Tiete Energia SA,BRL,TIET11
BRSAPRACNPR6,brazil,Companhia de Saneamento,Companhia de Saneamento do Parana Sanepar,BRL,SAPR4
BRCRIVACNPR1,brazil,Financeira Alfa,Financeira Alfa SA CFI,BRL,CRIV4
BRRPMGACNOR9,brazil,Refinaria de Petroleos,Refinaria de Petroleos de Manguinhos SA,BRL,RPMG3
BRBRSRACNOR3,brazil,BANRISUL ON N1,Banco do Estado do Rio Grande do Sul SA,BRL,BRSR3
BRENGICDAM16,brazil,Energisa,Energisa SA,BRL,ENGI11
BRSNSYACNPA5,brazil,Sansuy,Sansuy SA Industria de Plasticos,BRL,SNSY5
BRDMMOACNOR0,brazil,Ogx Petroleo e Gas,Ogx Petroleo e Gas SA em Recuperacao Judicial,BRL,DMMO3
BRABCBR15PR9,brazil,BancoC Brasil,Banco ABC Brasil SA Pref,BRL,ABCB10
BRANIMTNO008,brazil,GAEC Educacao,GAEC Educacao SA,BRL,ANIM3T
BRAZEVACNPR7,brazil,Azevedo & Travassos Pref,Azevedo & Travassos SA Pref,BRL,AZEV4
BRBAHIACNOR1,brazil,Bahema,Bahema SA,BRL,BAHI3
BRBALMACNPR2,brazil,Baumer Pref,Baumer SA Pref,BRL,BALM4
BRBAUHACNPR3,brazil,Excelsior Alimentos Pref,Excelsior Alimentos SA pref,BRL,BAUH4
BRBDLLACNPR8,brazil,Bardella Pref,Bardella SA Industrias Mecanicas Pref,BRL,BDLL4
BRBEESACNOR9,brazil,Banestes,Banestes SA Banco do Estado do Espirito Santo,BRL,BEES3
BRBEESACNPR6,brazil,Banestes Pref,Banestes SA Banco do Estado do Espirito Santo Pref,BRL,BEES4
BRBGIPACNPR8,brazil,Banese Pref,Banco do Estado de Sergipe SA Pref,BRL,BGIP4
BRBMEBACNOR8,brazil,Mercantil do Brasil,Banco Mercantil do Brasil SA,BRL,BMEB3
BRBMEBACNPR5,brazil,Mercantil do Brasil Pref,Banco Mercantil do Brasil SA Pref,BRL,BMEB4
BRBMINACNOR4,brazil,Mercantil de Investimentos,Banco Mercantil de Investimentos SA,BRL,BMIN3
BRBMINACNPR1,brazil,Mercantil de Investimentos Pref,Banco Mercantil de Investimentos SA Pref,BRL,BMIN4
BRBMKSACNOR9,brazil,Bicicletas Monark,Bicicletas Monark SA,BRL,BMKS3
BRBNBRACNOR8,brazil,BNB,Banco do Nordeste do Brasil SA,BRL,BNBR3
BRBOBRACNPR3,brazil,Bombril,Bombril SA,BRL,BOBR4
BRBRIVACNOR6,brazil,Banco Alfa,Banco Alfa de Investimento SA,BRL,BRIV3
BRBRIVACNPR3,brazil,Banco Alfa Pref,Banco Alfa de Investimento SA Pref,BRL,BRIV4
BRBSLIACNPR2,brazil,BRB Pref,BRB Banco de Brasilia SA Pref,BRL,BSLI4
BRBTTLACNOR0,brazil,Battistella Administracao,Battistella Administracao e Participacoes SA,BRL,BTTL3
BRCBEEACNOR3,brazil,Ampla,Ampla Energia e Servicos SA,BRL,CBEE3
BRCEEBACNOR3,brazil,Coelba,Companhia de Eletricidade do Estado da Bahia Coelba,BRL,CEEB3
BRCEEBACNPA6,brazil,Coelba Pref,Companhia de Eletricidade do Estado da Bahia Coelba Pref,BRL,CEEB5
BRCELPACNOR8,brazil,CELPA,Centrais Eletricas do Para SA CELPA,BRL,CELP3
BRCELPACNPA1,brazil,CELPA Pref,Centrais Eletricas do Para SA CELPA Pref,BRL,CELP5
BRCEPEACNPA6,brazil,Celpe Pref,Companhia Energetica de Pernambuco Celpe Pref,BRL,CEPE5
BRCGASACNOR0,brazil,Comgas,Companhia de Gas de Sao Paulo Comgas,BRL,CGAS3
BRCPRETNO007,brazil,CPFL Renovaveis,CPFL Energias Renovaveis SA,BRL,CPRE3T
BRCRIVACNOR4,brazil,Financeira Alfa ORD,Financeira Alfa SA CFI ORD,BRL,CRIV3
BRCRPGACNPA3,brazil,Cristal Pigmentos do Brasil Pref A,Cristal Pigmentos do Brasil SA Pref A,BRL,CRPG5
BRCRPGACNPB1,brazil,Cristal Pigmentos do Brasil Pref B,Cristal Pigmentos do Brasil SA Pref B,BRL,CRPG6
BRCSRNACNOR0,brazil,Cosern,Companhia Energetica do Rio Grande do Norte Cosern,BRL,CSRN3
BRCTKAACNPR7,brazil,Karsten Pref,Karsten SA Pref,BRL,CTKA4
BRCTNMACNOR9,brazil,COTEMINAS,Companhia de Tecidos Norte de Minas COTEMINAS,BRL,CTNM3
BRCTSAACNOR3,brazil,Santanense,Companhia Tecidos Santanense,BRL,CTSA3
BRCTSAACNPR0,brazil,Santanense Pref,Companhia Tecidos Santanense Pref,BRL,CTSA4
BRCVCBTNO003,brazil,CVC Viagens,CVC Brasil Operadora e Agencia de Viagens SA,BRL,CVCB3T
BRDOHLACNPR9,brazil,Dohler Pref,Dohler SA Pref,BRL,DOHL4
BRDTCYACNOR5,brazil,Dtcom,Dtcom Direct to Company SA,BRL,DTCY3
BREALTACNPR1,brazil,Electro Aco Altona Pref,Electro Aco Altona SA,BRL,EALT4
BREKTRACNPR7,brazil,Elektro Pref,Elektro Eletricidade e Servicos SA,BRL,EKTR4
BRELEKACNOR5,brazil,Elekeiroz,Elekeiroz SA,BRL,ELEK3
BREMAEACNPR1,brazil,EMAE Pref,EMAE Empresa Metropolitana de Aguas e Energia SA,BRL,EMAE4
BRENGIACNOR0,brazil,Energisa ORD,Energisa SA ORD,BRL,ENGI3
BRENMTACNOR5,brazil,Energisa MT,Energisa Mato Grosso Distribuidora de Energia SA,BRL,ENMT3
BRESTRACNPR0,brazil,Brinquedos Estrela,Manufatura de Brinquedos Estrela SA,BRL,ESTR4
BRFESAACNOR8,brazil,Ferbasa,Companhia de Ferro Ligas da Bahia Ferbasa,BRL,FESA3
BRGPCPACNOR4,brazil,GPC Participacoes,GPC Participacoes SA em Recuperacao Judicial,BRL,GPCP3
